id_user,created_at,username,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes
1397023688059494402,2021-05-25T02:56:53.000Z,YuriAguirrev,False,29,144,391,0,4,0,0,1,0
1314336361378451462,2020-10-08T22:46:34.000Z,Joc904,False,5,2,6,0,3,0,0,0,0
1463016770235613184,2021-11-23T05:29:40.000Z,Caseres5Caseres,False,7,302,2,0,2,0,0,0,0
62976722,2009-08-05T00:24:50.000Z,harriswhitbeck,False,8936,485,696,50,1,1,0,7,0
83428563,2009-10-18T19:40:26.000Z,andreaito,False,8402,3811,7950,5,1,0,0,0,0
783895069073956864,2016-10-06T05:02:03.000Z,Mauri_10R,False,66,103,1131,0,29,0,4,10,2
264329785,2011-03-11T18:37:24.000Z,Everamirezr,False,191,295,3392,1,9,0,1,8,1
205830151,2010-10-21T18:00:34.000Z,monei87V,False,168,302,5547,2,1,0,0,0,0
1315346116800634882,2020-10-11T17:39:06.000Z,villagran2021,False,0,10,5,0,2,1,0,0,0
2484790135,2014-05-09T02:02:58.000Z,Juankakastillo,False,7,194,23,0,5,0,0,2,0
422060168,2011-11-26T19:10:21.000Z,ArletMoreno1,False,278,234,9484,2,5,0,0,0,0
1152382142061719553,2019-07-20T00:58:07.000Z,majo_godoy98,False,193,200,1463,0,142,41,108,825,40
1451045787828432896,2021-10-21T04:41:08.000Z,Razorjosh110,False,4,77,185,0,6,0,4,6,0
422212027,2011-11-26T23:53:22.000Z,HenrydePazGT,False,616,1327,819,1,1,0,0,0,0
992528014251560961,2018-05-04T22:14:53.000Z,FrancisArguetaA,False,7216,28,3905,14,15,46,55,344,12
2849372701,2014-10-10T00:09:50.000Z,yrecinos2305,False,10,35,15,0,3,0,0,5,0
338653885,2011-07-19T22:08:16.000Z,samuel_pz,True,47539,3451,20889,92,2,418,683,2770,69
387461759,2011-10-09T03:20:49.000Z,Dulxita12,False,363,328,16851,1,28,0,8,35,0
29851076,2009-04-08T23:14:10.000Z,jaramillolujan,False,15760,4195,54659,162,2,1,2,44,0
152392114,2010-06-05T20:59:37.000Z,IsaSotoMayedo,False,1295,1861,28804,7,2,0,0,2,0
27029617,2009-03-27T15:44:18.000Z,KarlaLainez,False,323,233,25907,8,1,0,1,5,0
1434573320545087492,2021-09-05T17:46:21.000Z,GuadalupeTecum,False,0,13,1,0,1,0,0,1,0
2957706796,2015-01-03T01:17:22.000Z,MarioOsoazul76,False,115,447,4933,0,55,1,8,16,1
129088132,2010-04-03T04:15:06.000Z,joseluna94,False,121,248,1074,0,1,0,0,0,0
326515069,2011-06-30T01:35:14.000Z,SechCh,False,62,129,1244,0,5,0,1,8,0
1353101492031541248,2021-01-23T22:05:21.000Z,conejitolunar,False,42,147,3053,0,7,0,3,5,0
3860483113,2015-10-11T16:49:53.000Z,CalelGudiel,False,5,214,24,0,1,0,0,0,0
1330989256500711426,2020-11-23T21:39:20.000Z,marjorie__andre,False,50,48,96,0,1,0,0,1,0
1338094395137126401,2020-12-13T12:12:41.000Z,ma_es00,False,5,52,89,0,38,0,1,3,0
608682679,2012-06-15T01:52:16.000Z,Carlos_HB_,False,81,266,1846,0,7,0,0,0,0
857126185,2012-10-01T22:32:44.000Z,AndreaaRivas_,False,531,365,31107,1,210,6,142,124,0
1371140354314022912,2021-03-14T16:45:28.000Z,IamLilyLopez27,False,239,148,596,1,1,0,0,4,0
926511062022795264,2017-11-03T18:07:05.000Z,WilsonAmilcarp1,False,125,213,21,0,1,0,1,1,0
1286113213340426240,2020-07-23T01:37:55.000Z,nathaliec_m,False,7,83,265,0,7,0,0,4,0
96223825,2009-12-11T22:47:41.000Z,Carlopezb,False,108,506,2095,0,26,0,15,9,1
1271650433757577218,2020-06-13T03:48:13.000Z,MunchiTheHuman,False,13,15,150,0,41,0,6,16,0
1121268163352592385,2019-04-25T04:22:17.000Z,maryandre10_,False,59,36,537,0,4,0,2,2,0
101845017,2010-01-04T19:40:05.000Z,UnsaidFragments,False,879,356,52028,0,8,8,11,219,0
946338786878918661,2017-12-28T11:15:23.000Z,WilsonDavidTor3,False,122,768,1007,0,1,0,0,7,0
1276535278921007104,2020-06-26T15:18:33.000Z,Vale__Galvez,False,211,386,282,0,5,0,3,18,0
99618381,2009-12-27T02:14:55.000Z,stuardocastillo,False,325,901,751,2,6,0,0,4,0
570983404,2012-05-04T16:51:34.000Z,Palante_07,False,89,321,169,0,4,0,1,1,0
1266172082653728768,2020-05-29T00:58:56.000Z,youphorico,False,1114,668,2800,3,455,65,116,2758,13
1378440381331865605,2021-04-03T20:13:16.000Z,MajoBernabe_,False,68,75,4697,0,62,3,13,31,2
1345441965584875521,2021-01-02T18:49:19.000Z,MenjivarJessy1,False,10,23,33,0,16,6,1,38,0
166199379,2010-07-13T15:43:59.000Z,hombrereprobo,False,874,841,73438,23,116,34,54,199,1
100346861,2009-12-29T23:25:10.000Z,silvya_ch,False,296,328,10518,1,35,3,4,29,0
1028908381,2012-12-22T17:13:51.000Z,Alexander_gG9,False,76,55,6298,0,9,0,2,2,0
498221822,2012-02-20T20:29:51.000Z,Diaz2390,False,341,324,20656,0,5,1,1,4,0
68695421,2009-08-25T13:43:09.000Z,AlePolanc0,False,36,148,545,0,39,1,9,15,0
19247073,2009-01-20T17:46:32.000Z,elderv,False,546,308,23189,7,1,0,0,0,0
131975937,2010-04-11T23:00:12.000Z,jhonyjhosept,False,589,2131,2436,0,28,5,2,41,2
1082680915351011333,2019-01-08T16:50:20.000Z,CalderonXinia,False,12,46,56,0,5,0,0,2,0
234162772,2011-01-05T00:15:03.000Z,EstebanBritoC,False,6033,529,131012,24,2,0,0,0,0
3180918404,2015-04-30T18:37:34.000Z,SPerezlesbia,False,41,171,85,0,4,0,0,0,0
1267538961007890432,2020-06-01T19:30:53.000Z,Solis_Angiee,False,9,104,65,0,1,0,0,0,0
946201015484928000,2017-12-28T02:07:56.000Z,Edwin01068447,False,11,203,2043,0,69,1,28,20,7
248964300,2011-02-08T02:29:15.000Z,Pyritiflautica,False,240,195,3483,1,352,11,103,480,4
1235994138,2013-03-02T19:22:01.000Z,Castr0_AngelicA,False,211,1931,12429,0,1,0,0,0,0
121908522,2010-03-11T00:36:18.000Z,stephangodoy,False,83,64,219,2,2,2,3,12,0
4060625117,2015-10-28T12:41:18.000Z,rojoooo70,False,32,37,2117,0,2,0,0,2,0
448469283,2011-12-28T01:35:40.000Z,MarlonVega02,False,779,400,8865,1,1255,5178,1679,18799,590
115534115,2010-02-19T00:28:46.000Z,melousky,False,2451,527,5311,3,252,614,435,7362,84
1168730922495238150,2019-09-03T03:42:41.000Z,GeordaniCastil2,False,22,40,187,0,65,5,2,11,0
3000433933,2015-01-29T03:25:55.000Z,3813a36eab8c405,False,20,102,1802,0,12,0,0,8,0
1456009243652460544,2021-11-03T21:24:06.000Z,GundaePaen,False,0,8,94,0,1,0,0,0,0
226780667,2010-12-15T01:57:17.000Z,JayPilot87,False,342,1072,29242,6,1,0,0,0,0
959216534,2012-11-20T01:41:24.000Z,isaacperez0125,False,75,472,1241,0,1,0,2,8,0
302120265,2011-05-20T16:47:32.000Z,mrtell1969,False,425,890,7490,0,155,6,23,62,4
2860687109,2014-11-04T13:55:35.000Z,Ubaldo_Of,False,38,388,1550,0,14,1,7,17,1
1265307848252293125,2020-05-26T15:44:59.000Z,EliizaCastiillo,False,265,247,1359,0,5,0,1,8,0
1365189253,2013-04-19T19:10:25.000Z,KikiHerdz,False,143,216,2968,0,1,0,0,0,0
2260493085,2014-01-03T18:39:35.000Z,AllanDG81,False,47,54,413,0,2,0,0,0,0
1404197879271538692,2021-06-13T22:04:22.000Z,YeisonL87329542,False,6,32,8,0,1,0,0,0,0
907251654042550272,2017-09-11T14:37:05.000Z,aleoquezada,False,58,258,260,0,5,0,1,6,0
260799086,2011-03-04T16:37:35.000Z,RENDONA25,True,1340,340,934,29,1,0,0,0,0
902353569923428352,2017-08-29T02:13:50.000Z,LicdaKarlita,False,348,437,7459,0,71,3,17,148,0
61651156,2009-07-31T01:08:34.000Z,meme_figue,False,328,485,20886,2,14,0,6,17,1
2540476827,2014-05-11T06:51:54.000Z,edteos,False,194,297,429,0,2,0,0,1,0
421134421,2011-11-25T15:03:55.000Z,Stheff502,False,774,569,24872,2,2,0,2,10,0
4028171772,2015-10-26T20:59:18.000Z,WrongBand_GT,False,186,307,371,0,1,0,0,1,1
43034820,2009-05-28T03:09:56.000Z,rodrigogch_,False,513,346,31211,10,3,0,0,3,0
333174108,2011-07-11T03:20:44.000Z,KikeGutierre,False,540,292,13106,2,86,63,36,367,5
213818584,2010-11-09T21:43:26.000Z,god_ie7,False,210,761,2631,3,30,0,8,16,2
792780333154381828,2016-10-30T17:28:55.000Z,sabifloress,False,28,27,30,0,3,0,1,7,0
112554431,2010-02-08T22:50:19.000Z,gabiie_lorenzan,False,519,317,5805,0,2,0,0,0,0
347493763,2011-08-02T21:53:44.000Z,visualcentre,False,39,58,55,0,2,0,0,0,0
1246451085876789248,2020-04-04T14:54:46.000Z,Fernand60186693,False,45,113,34,0,2,0,0,0,0
1432560340919853056,2021-08-31T04:28:06.000Z,AlfredoBalux,False,1,10,5,0,1,0,0,0,0
328527326,2011-07-03T15:04:14.000Z,NaidaNjr,False,143,158,7090,1,11,0,1,8,0
1371623375643275265,2021-03-16T00:44:47.000Z,JorgeBa04227276,False,89,209,35,0,8,0,2,6,0
260828566,2011-03-04T17:52:12.000Z,Jaquelyne_Diaz,False,210,392,7360,1,17,0,5,9,0
1166162700,2013-02-10T15:12:41.000Z,XLV1Unreal,False,687,1982,12899,1,6,0,2,2,0
1309554230,2013-03-28T05:49:07.000Z,maxilogt,False,608,944,438,3,1,0,0,28,0
1394054094285901824,2021-05-16T22:16:55.000Z,CamilaH75221970,False,2,84,422,0,4,2,1,25,0
1258433313120935938,2020-05-07T16:27:44.000Z,manueeeeelj,False,145,149,3473,0,5,0,7,30,0
558434884,2012-04-20T08:12:21.000Z,PepeRodriguez_s,False,82,128,323,2,1,0,0,2,0
2579800750,2014-06-03T08:11:11.000Z,EduardoBracam17,False,120,143,2289,0,425,1,0,1,0
2382528044,2014-03-10T18:40:50.000Z,fabiocheng1,False,1199,1803,1754,7,5,3,1,65,0
414468837,2011-11-17T02:52:25.000Z,JuanFuentes34,False,133,213,16040,3,7,0,0,5,0
1420442693432446986,2021-07-28T17:55:18.000Z,yvalez1,False,1264,1737,801,0,3,2,1,42,0
1173731155880923136,2019-09-16T22:52:04.000Z,MarCoralin,False,41,147,821,0,113,5,7,51,1
309753686,2011-06-02T16:22:44.000Z,LuluBraham,False,770,346,3114,2,40,1,13,57,1
3363283221,2015-07-07T00:11:52.000Z,littlemariobox,False,85,263,2358,0,1,0,1,0,0
1308034024464617473,2020-09-21T13:23:53.000Z,guajabanaoutlo1,False,6,143,733,0,1,0,0,0,0
2301992416,2014-01-24T18:52:36.000Z,JCMkting,False,55,236,162,0,5,0,0,0,0
855706658,2012-10-01T02:24:12.000Z,agmeridaa,False,1193,324,17431,0,2,0,0,11,0
1382357417808248836,2021-04-14T15:39:34.000Z,diasdeenero_,False,1,107,126,0,9,0,0,0,0
756935813213016064,2016-07-23T19:35:35.000Z,sandy87076014,False,2,14,2,0,1,0,0,0,0
361678175,2011-08-25T04:42:21.000Z,The_JKnight_Sk,False,57,124,3697,21,6,0,0,0,0
1328230080208904192,2020-11-16T06:55:23.000Z,Gabyelz1,False,89,56,17528,1,5,3,0,2,0
529521688,2012-03-19T16:43:06.000Z,Yeya_tada,False,166,833,4800,0,37,19,3,95,2
1126822466,2013-01-28T02:43:33.000Z,pablodjs14,False,24,88,278,1,11,1,5,11,0
58053863,2009-07-18T22:51:31.000Z,Latiwish,False,1357,147,47749,3,1,3,0,15,0
107286969,2010-01-22T02:45:14.000Z,Alberth04,False,195,1166,7617,2,5,0,0,0,0
292347434,2011-05-03T14:16:38.000Z,luis261285,False,378,460,26329,7,534,43,273,911,9
