author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,paisSN
1339840556,Pilita_Mendez,2013-04-09T18:10:01.000Z,False,66,214,175,1,4,75,2,3,0,1,2,0,1,1,0,0,0,0,0,2,0,7,1
236129457,jabellan7,2011-01-09T21:44:03.000Z,False,91,168,5781,0,122,2337282,2,9,0,5,92,0,5,80,0,1,10,0,0,0,0,193,0
255126159,MLuisaCrz,2011-02-20T18:44:05.000Z,False,306,195,4196,0,76,6278,4,125,0,6,15,2,7,10,1,1,5,1,3,4,0,55,1
142306651,Angelino_Garzon,2010-05-10T14:37:54.000Z,False,202076,851,3808,857,63,2536,2914,8042,441,0,5,0,0,0,0,0,3,0,0,0,0,8,0
146242683,ElyPadra,2010-05-20T23:37:08.000Z,False,283,291,9606,3,6,1371,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,7,1
473292498,allanmartinezcr,2012-01-24T20:43:53.000Z,False,3459,1198,31332,15,644,118340,272,2286,45,57,164,59,12,38,24,26,59,47,4,28,8,526,1
336233380,Mazy_Flores,2011-07-15T23:34:24.000Z,False,475,396,6526,4,42,1346,8,40,0,0,31,0,0,6,0,0,8,0,0,3,0,48,0
342490901,_darth_bryan_,2011-07-26T02:59:18.000Z,False,506,594,45015,0,368,231021,106,649,50,23,96,30,17,67,21,8,26,8,15,43,7,361,1
1176277233352302595,JoselyneMonge,2019-09-23T23:29:14.000Z,False,25,158,110,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
1729967742,cosmicshanti,2013-09-04T21:51:54.000Z,False,194,114,3325,7,109,119,0,19,0,0,12,0,0,1,0,0,10,0,0,0,0,23,0
1735267386,Seiden_1501,2013-09-06T14:33:05.000Z,False,128,640,4594,0,147,92936,33,67,2,4,36,1,2,26,0,2,13,1,0,15,0,100,1
1766659406,dvargas1926,2013-09-07T18:54:54.000Z,False,133,632,1088,2,26,1957,5,9,0,1,7,1,0,1,0,1,3,1,0,2,0,17,1
1830992869,GIUSEPPECACACE8,2013-09-08T15:52:49.000Z,False,590,707,4287,2,79,695,3,14,0,0,14,0,0,10,0,0,2,0,0,1,0,27,1
816254331729182721,cazador_noc,2017-01-03T12:06:12.000Z,False,198,333,611,0,117,927,5,64,4,2,55,2,1,10,2,1,31,1,1,4,2,112,1
116339136,nikkyrouge,2010-02-22T03:15:34.000Z,False,2220,870,60968,10,921,528420,642,3692,51,38,170,64,9,38,25,30,105,41,12,48,9,589,1
116974596,jesmpr,2010-02-24T04:18:51.000Z,False,10437,11094,30857,29,21,489,1,9,0,0,16,0,0,6,0,0,2,0,0,0,0,24,1
501756482,aseguraa10,2012-02-24T13:04:31.000Z,False,969,607,11614,2,435,142320,104,4531,34,2,64,30,3,38,30,1,32,0,1,9,3,213,1
1351285395749806081,Enrique05040731,2021-01-18T21:48:53.000Z,False,4,52,203,0,6,0,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
14261893,feangulo,2008-03-30T23:42:21.000Z,False,235,154,815,6,24,751893,0,0,0,0,23,0,0,19,0,0,1,0,0,1,0,44,1
15591955,Chuleticas,2008-07-25T01:00:56.000Z,False,284,619,3881,0,21,16548,1,2,0,9,19,0,4,10,0,1,2,0,0,0,0,45,1
1355595317530533890,Geovann74285077,2021-01-30T19:15:09.000Z,False,2,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
